date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:35	56108/56108	---M--	200	added ('OK')	font/woff	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.woff	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.woff	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/themify-icons.min.css?ver=1.0.0)
16:22:36	16304/16304	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.eot	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:36	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.svg	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/themify.svg	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/themify-icons.min.css?ver=1.0.0)
16:22:36	16304/16304	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.eot?	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10d41d.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:36	7712/7712	---M--	200	added ('OK')	font/woff	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.woff	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.woff	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:37	16104/16104	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.ttf	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.ttf	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:37	34229/34229	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.svg	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-arrows-10.svg	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:37	21478/21478	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.eot	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:37	21478/21478	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.eot?	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10d41d.eot	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
16:22:38	12260/12260	---M--	200	added ('OK')	font/woff	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.woff	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/fonts/linea-basic-10.woff	(from https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/linea.min.css?ver=1.0.0)
